,dataset,k,r,w,v,reduction,acc,eff,storage
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8164852255054432,0.19860005378723145,0.12672651933701656
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8895800933125972,0.20960354804992676,0.1327693370165746
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8527131782945736,0.21428227424621582,0.13022452504317789
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8662519440124417,0.22097086906433105,0.14140193370165746
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8660436137071651,0.21604418754577637,0.13119281891938547
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8248062015503876,0.21195173263549805,0.13177892918825562
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8662519440124417,0.22539758682250977,0.14071132596685082
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8854489164086687,0.22837138175964355,0.1354292623941959
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8600311041990669,0.2154080867767334,0.13604972375690608
0,satimage,5,1,eq,shep,<function drop3 at 0x000001C29B9E0D90>,0.8566978193146417,0.22442007064819336,0.12860348696702917
