,dataset,k,r,w,v,reduction,acc,eff,storage
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.9191919191919192,0.11173462867736816,0.228946229
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.898989898989899,0.1326768398284912,0.230078563
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.9393939393939394,0.11571168899536133,0.235690236
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.9292929292929293,0.11871623992919922,0.233445567
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.8787878787878788,0.11871600151062012,0.235690236
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.9595959595959596,0.11868476867675781,0.231200898
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.898989898989899,0.11865425109863281,0.231200898
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.9393939393939394,0.11768484115600586,0.232323
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.898989898989899,0.1186823844909668,0.231200898
0,vowel,1,1.5,mi,maj,<function drop3 at 0x000001C29B9E0D90>,0.9191919191919192,0.12269926071166992,0.231200898
